contact_name,contact_number,contact_email,city,state
Saurav Sinha - Mayo College,9828037766,secyprincipal@mayocollege.com,,Rajasthan
Front Desk - Mahindra United World College,9764442751,,Pune,Maharashtra
Arpit Panjwani - Maa Anandmayee Memorial School,8954793101,,Haridwar,Uttarakhand
Nelthropp - Laidlow Memorial,9841362995,,Ketti,Tamil Nadu
Dr Ramesh Joshi - Lk Singhania Education Centre,9929188810,,Gotan,Rajasthan
Vidya Sagar - Keystone International Sschool,9603544442,,Ooty,Tamil Nadu
Rinoza Ansari - Kanakia International School,7506223046,,Mumbai,Maharashtra
Deepa Nigam - Jindal Vidya Mandir,8308565398,,Vasind,Maharashtra
Paresh Gangwani - Jbcn International School Mumbai,7738513877,,Mumbai,Maharashtra
Mr Sanjay Tiwary - Jain International School,7899888099,,,
Ms Aparna Achanta - Indus International School,7799677751,,,
"Ananta Tomar - Hopetown Girls School, Dehradun",8278642549,,Dehradun,Uttarakhand
Principal - Shranalaya World School Chennai,9986451222,,Chennai,Tamil Nadu
"Neelam Joshi - Gyananda School For Girls, Dehradun",9536157023,,Dehradun,Uttarakhand
Mr Johan Jacob - Gps Brookes Kochi,8921199437,,Kochi,Kerala
Mrs Neelam Ravi - Gjr International School,9606489501,,,
Ms Maheea Goel - Fazlani L Acdemie Globale,9930884618,,,
Timothy Barretto - Emmanuel Ministries Calcutta,9903133457,,Kolkata,West Bengal
Dps Vidyut Nagar,8800641788,,Dadri,Uttar Pradesh
Ms Kanchan Khandke - Ecole Global School,9557291888,,Dehradun,Uttarakhand
"Sudhesh Sharma - Dyal Singh College, Panipat",9354436000,,Panipat,Haryana
Ms Shraddha Sardesai - Dr Pillai Global Academy,9619182441,,Mumbai,Maharashtra
"Deepak Tony - Doon International School , Mohali",9501646812,,Mohali,Punjab
Ashish Choudhary - Dps Ntpc Vidyut Nagar,8527828180,,,
Principal - Neelum Singh St Angels School,9868490175,,,Delhi
"Ayushi- Presidium, Sec- 31 Noida",9810296267,,Noida,Uttar Pradesh
"Nupur Chaturvedi - City Montessori School, Rajajipuram",7408416418,,Lucknow,Uttar Pradesh
Christ Church School,2223099892,,,
Rajesh Kateshiya - Chatrabhuj Narsee School Mumbai,9930670691,,Mumbai,Maharashtra
Jorawar Singh - Cambridge International School Phagwara,8872079803,,Phagwara,Punjab
Poonam Rathore - Central Public School,9358838680,,,
Amritpal Kaur - Cambridge International School Phagwara,9041429791,,Phagwara,Punjab
Dipanjan Bagli - Calcutta International School Kolkata,9836208803,,Kolkata,West Bengal
Brcm Gyankunj School - Principal Rajesh Jhajharia,9992500855,principalgyankunj@brcm.edu.in,,
Mrs Sheeza Ali Khan - Bliss International School,7741850000,,Pune,Maharashtra
Aruna Muddana - Birla Open Minds International School,6304767235,,,
"Indu Sharma - Bhupindra International School, Patiala",9814848505,,Patiala,Punjab
"Shahila Chandrashekhar - Vuce Principal, B. K Birla Public School. Kalyan",9833739494,,Pilani,Rajasthan
Nidhi Pandey - Aurum The Global School,8791433617,,,
Hemant Kumar Rai - Ashok Hall Girls Residential School,9639006461,,,
"Front Desk - Avni, Dps Anand",7574833665,,,
Principal Sudeshna Baneerjee,7828881377,,,
Shanti Sinha - Dps Bhojpur,9431012970,,,
Priti Singh - Bbps Anuppur Mp,9752430115,,,Madhya Pradesh
Mrs Ritu Dewan - Dayawati Modi Academy Meerut,9897022453,,Meerut,Uttar Pradesh
Principal - Nisha Ajith Kumar Ramsheth Thakur Mumbai,9987476532,,Mumbai,Maharashtra
"Principal - Grace Queen Mary School, Mumbai",9321115755,,Mumbai,Maharashtra
"Principal - Ishita Chowdhury, Pawar Public School Mumbai",9819072324,,Mumbai,Maharashtra
"Maheeka Balasubramaniam - Principal, Nes National Public School, Mumbai",9820220703,,Mumbai,Maharashtra
"Priya Anand - Head Of School. Mount Litera School, Mumbai",9167440170,,Mumbai,Maharashtra
Principal - Persis Z Wadia- Maneckji Cooper Education Trust Mumbai,9820604717,,Mumbai,Maharashtra
"Avinash Kulkurani - Principal, Loknete Ramshetb Thakur Public School, Mumbai",9975573497,,Mumbai,Maharashtra
"Deepali Nene - Kohinoor International School, Mumbai",9322837814,,Mumbai,Maharashtra
"Mukinda Sawale - Principal, Ideal English School, Thane",8087714002,,Thane,Maharashtra
"Anju Vedi - Principal, Greenfingers Glibal School, Mumbai",9833948985,,Mumbai,Maharashtra
"Sharda Sharma, Director Dr Pillai Academy, Mumbai",9821241419,,Mumbai,Maharashtra
Ashu Rana - Dy Patil Navi Mumbai,9004985342,,Mumbai,Maharashtra
"Sunita George - Bombay Scottish School, Mumbai",9870003347,,Mumbai,Maharashtra
"Viraj Desai - Aventura International School, Mumbai",9821026137,,Mumbai,Maharashtra
"Poonam - Principal, The Manthan School Gn West",9810068796,,Greater Noida,Uttar Pradesh
Arunabh Singh - Nehru World School Ghaziabad,9810518518,,Ghaziabad,Uttar Pradesh
Bgs Vijnatham Noida,9999096820,,Noida,Uttar Pradesh
Amarnath Soni - Bbps Mp,7999375357,,,Madhya Pradesh
Unnati Bbps Mp,8435002663,,,Madhya Pradesh
Mrs Mradulata Singh - Bbps Bhopal,9893191040,,Bhopal,Madhya Pradesh
Bhps Noida Principal,7000817815,,Noida,Uttar Pradesh
Coord Varsha Mris Charmwood,9650085432,,,Delhi
Coord Megha Singh - Gagan Public School Gn,8851864964,,Greater Noida,Uttar Pradesh
Silverline School Kavi Nagar,9810499952,,Ghaziabad,Uttar Pradesh
Dav Gole Market,1123743515,,New Delhi,Delhi
Geeta Varshneya - Shri Ram Global School Gn,9958088890,,Greater Noida,Uttar Pradesh
Vandana Shukla - Nehru International School Noida,8527983079,,Noida,Uttar Pradesh
Philip N Gomez - Principal Father Agnel School Noida,9773505022,,Noida,Uttar Pradesh
Ankur Gautam - Merry Angels School. Gn,7018093232,,Greater Noida,Uttar Pradesh
Meenakshi Pandita Royal Oak International School,9312209420,,,
Paul Singh - Karl Huber School,9528869086,,Noida,Uttar Pradesh
Sanghamitra Chatterjee Mail Query,7044869899,,,
Noida Father Agnel School - Tina John,9873716869,,Noida,Uttar Pradesh
Farha Rahman - Salvation Tree School,8130685355,,Greater Noida,Uttar Pradesh
Billabong School Coordinator,9999783584,,,Delhi
Monica - Front Desk. J M International School Gn,9999671884,,Greater Noida,Uttar Pradesh
Monika Sharma - Jalandhar Public School Pb,9914145890,,Jalandhar,Punjab
Ms Rajni Aneja - Mp Intl School,8146627575,,,Madhya Pradesh
Anu Marwaha - Police Dav School,9877992644,,,
Rajeev Nayer - School Blue Heaven,9828613000,,,Rajasthan
Gurbhej Singh Naggi - Guru Nanak Public School Pb,9914300136,,,Punjab
"D.A.V. Model School,Yusuf Sarai, ,New Delhi,Delhi",9717222417,davmsyusufsarai@yahoo.com,New Delhi,Delhi
"Darbari Lal Dav Model School,B.N. Block, ,Shalimar Bagh,Delhi",9811950054,principal@dldavsb.org,New Delhi,Delhi
"Jhabbhan Lal Dav Public School,J-Block, ,Paschim Vihar,Delhi",9999468908,jldavpv1@yahoo.com,New Delhi,Delhi
"Sls D.A.V Public School, , Mausam Vihar,Delhi",9818147076,slsdavps@yahoo.com,New Delhi,Delhi
"D.A.V. Model School,Yusuf Sarai, ,New Delhi,Delhi",9810609676,davmsyusufsarai@yahoo.com,New Delhi,Delhi
"D.A.V. Public School, , Sreshtha Vihar,Delhi",9873692544,poonamgera1@yahoo.com,New Delhi,Delhi
"Darbari Lal Dav Model School,B.N. Block, ,Shalimar Bagh,Delhi",9999086160,info@dldavsb.org,New Delhi,Delhi
"Hans Raj Model School,Road No. 73, ,Punjabi Bagh,Delhi",8447514749,shilpa.hrms@gmail.com,New Delhi,Delhi
"Sls D.A.V Public School, , Mausam Vihar,Delhi",7838631273,roopasethi8@gmail.com,New Delhi,Delhi
"D.A.V Public School,Kailash Hills,Near C - Block Market, East Of Kailash,Delhi",9910852891,info.davkailashhills@gmail.com,New Delhi,Delhi
"Arvind Gupta D.A.V Centenary Public School,Model Town, Behind Police Qtrs.,Near Naini Lake, Model Town,Delhi",9990907050,nidhichopra.nagdev@gmail.com,New Delhi,Delhi
"Shaheed Rajpal D.A.V. Public School, , Dayanand Vihar,Delhi",9899285980,sonia.dora74@gmail.com,New Delhi,Delhi
"D.A.V. Public School,Phase - Iv, ,Ashok Vihar,Delhi",9871318064,kusumbhardwaj123@yahoo.co.in,New Delhi,Delhi
"D.A.V. Kulachi Hans Raj Manovikas Kendra,G-Block, Phase I, ,Ashok Vihar,Delhi",9811219066,khmsav3@gmail.com,New Delhi,Delhi
"Veda Vyasa D.A.V. Public School,D-Block, Bodela, ,Vikas Puri,Delhi",9899259840,kavitadewan844@hotmail.com,New Delhi,Delhi
"D.A.V. Public School, , Sreshtha Vihar,Delhi",9911194920,suhasiniknath@hotmail.com,New Delhi,Delhi
"Darbari Lal Dav Model School,B.N. Block, ,Shalimar Bagh,Delhi",9891261641,dolliesharma29jan@gmail.com,New Delhi,Delhi
"D.A.V. Public School,Plot No. 3,Pocket - 6, Jasola Vihar,Delhi",9560044085,anjali123khanna@gmai.com,New Delhi,Delhi
"Hans Raj Model School,Road No. 73, ,Punjabi Bagh,Delhi",9999044329,hrmscomplaints@gmail.com,New Delhi,Delhi
"D.A.V. Public School,Pushpanjali Enclave,Outer Ring Road,Near Saraswati Vihar, Pitampura,Delhi",9871922170,principal@davpushpanjali.com,New Delhi,Delhi
"Darbari Lal Dav Model School,N.D. Block,Vaisakha Enclave, ,Pitampura,Delhi",9811040325,dldavpp@yahoo.co.in,New Delhi,Delhi
"Jhabbhan Lal Dav Public School,J-Block, ,Paschim Vihar,Delhi",9968795337,neenabhola6@gmail.com,New Delhi,Delhi
"M. L. Khanna D.A.V. Public School,Sector Vi,Dwarka, Palam,Delhi",9953237077,sarika.pant@davdwarka.in,New Delhi,Delhi
"Dav Centenary Public School,Paschim Enclave,Rohtak Road, Mianwali Nagar,Delhi",9818542400,davpe87@gmail.com,New Delhi,Delhi
"Sls D.A.V Public School, , Mausam Vihar,Delhi",9910502825,alkasharmapk@gmail.com,New Delhi,Delhi
"D.A.V Public School,Kailash Hills,Near C - Block Market, East Of Kailash,Delhi",1146544839,info.davkailashhills@gmail.com,New Delhi,Delhi
"Arvind Gupta D.A.V Centenary Public School,Model Town, Behind Police Qtrs.,Near Naini Lake, Model Town,Delhi",9818983686,office@agdav.edu.in,New Delhi,Delhi
"Arvind Gupta D.A.V Centenary Public School,Model Town, Behind Police Qtrs.,Near Naini Lake, Model Town,Delhi",9818983686,principal@agdav.edu.in,New Delhi,Delhi
"Shaheed Rajpal D.A.V. Public School, , Dayanand Vihar,Delhi",9810610283,vinitakapoor21@yahoo.com,New Delhi,Delhi
"Suraj Bhan Dav Public School,F-10/15, ,Vasant Vihar,Delhi",9810218015,sb_dav@yahoo.co.in,New Delhi,Delhi
"D.A.V. Kulachi Hans Raj Manovikas Kendra,G-Block, Phase I, ,Ashok Vihar,Delhi",9810218015,principal@khms.ac.in,New Delhi,Delhi
Gauri Araora - Coord Heritage Ggn Ib Branch,9818629907,,Gurugram,Haryana
Daljeet Kaur - Bhai Joga Singh Girls Public School,9811071423,,New Delhi,Delhi
Madhu Sharma - Arya Girls Sr Sec School,9911220646,,,Delhi
Anjum Ara - Anglo Arabic Model School,8506040610,,New Delhi,Delhi
Shalini Singh - Shri Ram Global School,9319290068,,,
Narendra Gaur - The Millenium School Kpv,8130440016,,,
Rashmi Kapoor Senior Hm - Sarvottam Noida,9999993384,,Noida,Uttar Pradesh
Coordms Sumeira - Gd Goenka Sec 50 Noida,8527940844,,Noida,Uttar Pradesh
"Seema Sirohi - Coordinator, Dps Kpv",9868156171,,,Delhi
"Gurmanmeet Kaur - Coord , Dav Ludhiana",7717200511,,Ludhiana,Punjab
Krm Eok - Umesh Sir Coordinator,9811450999,,,Delhi
"Ms Licy, Coordinator - Manaskriti School Faridabad",9990959500,,Faridabad,Haryana
Deepak Walia - Manavsthali School Rajinder Nagar,8826486770,,New Delhi,Delhi
"Meenakshi , Coordinator - Nc Jindla Public School",9958565333,,,
Guru Hargobind S S Pub Sch Sidhwan Khurd Ldh Pb,9465535957,charanjeet94655@icloud.com,Ludhiana,Punjab
Srs Global School Nh 58 Partapur Meerut Up,8126535662,srsglobalschool20@gmail.com,Meerut,Uttar Pradesh
Aanchal Maam - Dayawati Modi School Meerut,8218625305,aanchals789@gmail.com,Meerut,Uttar Pradesh
Srs Global School Nh 58 Partapur Meerut Up,9927644608,swatigupta1942@gmail.com,Meerut,Uttar Pradesh
Shanti Niketan Vidyapeeth Mawana Road Meerut Up,6398465441,binagunwant9990@gmail.com,Meerut,Uttar Pradesh
Shanti Niketan Vidyapeeth Mawana Road Meerut Up,7535019266,iraviasthana@gmail.com,Meerut,Uttar Pradesh
P G M Intl School Main Garh Road Meerut Up,8859900424,pgmischool@gmail.com,Meerut,Uttar Pradesh
P G M Intl School Main Garh Road Meerut Up,7055303444,pgmischool@gmail.com,Meerut,Uttar Pradesh
Jms World School Nh 9 Bypass Rd Rampur Hapur Up,8273836019,admin_school@jms.ac.in,Hapur,Uttar Pradesh
Dayawati Modi Academy Modipuram Meerut Up,9897059484,dhaka.rajeev@gmail.com,Meerut,Uttar Pradesh
Dayawati Modi Academy Modipuram Meerut Up,9997222358,principal@dma1.in,Meerut,Uttar Pradesh
B.P. Convent School,6375595789,bpconventschool@gmail.com,,
Aurobindo International School,9829558489,mayank.maism@gmail.com,Jaipur,Rajasthan
Aurobindo International School,7976297829,neetumaharshi1@gmail.com,Jaipur,Rajasthan
Aurobindo International School,9829481485,knagpal2001@gmail.com,Jaipur,Rajasthan
Shankar Lal Dhanuka Sr Sec Adarsh Vidya Mandir Keshav Vidyapeeth Jamdoli Jaipur,8290697990,push3569@gmail.com,Jaipur,Rajasthan
Shankar Lal Dhanuka Sr Sec Adarsh Vidya Mandir Keshav Vidyapeeth Jamdoli Jaipur,9772203255,dkjoshi20@gmail.com,Jaipur,Rajasthan
Shankar Lal Dhanuka Sr Sec Adarsh Vidya Mandir Keshav Vidyapeeth Jamdoli Jaipur,9799850500,sldavmjamdoli@gmail.com,Jaipur,Rajasthan
Rishikul Vijay School,9680209333,priyanka8kapoor@gmail.com,,
Rishikul Vijay School,9352075206,rishikulvijay@gmail.com,,
Maheshwari Public School,9829046709,principalmpskr@gmail.com,,Rajasthan
Tilak Global School,9829240005,tilak_global@yahoo.com,,Rajasthan
The Jaipur Public School,8769564224,yogi.kamalkant@gmail.com,Jaipur,Rajasthan
The Jaipur Public School,7597290572,vvsjaipur@gmail.com,Jaipur,Rajasthan
The Jaipur Public School,9929820218,kartaryogi@gmail.com,Jaipur,Rajasthan
Ryan Edunation School,9929477332,administrator@resj.edu.in,,
Rahul Ma Shikshan Sansthan U Ma School,9782999776,rahulmaschool2000@gmail.com,New Delhi,Delhi
Rahul Ma Shikshan Sansthan U Ma School,9214831298,rahulmaschool2000@gmail.com,,
Universe Public School,9214333318,ritikarathore1974@gmail.com,Jaipur,Rajasthan
Universe Public School,9352347931,saroj201150@gmail.com,Jaipur,Rajasthan
Universe Public School,8003030191,subhashtailor958@gmail.com,Jaipur,Rajasthan
Vadanta International School,9950687213,harish9950@gmail.com,Jaipur,Rajasthan
Vadanta International School,9414607448,committeevadantaharrasment@gmail.com,Jaipur,Rajasthan
Vadanta International School,8233404072,grievancevadanta@gmail.com,Jaipur,Rajasthan
Discovery International School,6294842009,office.dispaota@gmail.com,Jaipur,Rajasthan
Discovery International School,8852900997,dispaota@gmail.com,Jaipur,Rajasthan
Discovery International School,6350168551,dispaota@gmail.com,Jaipur,Rajasthan
Petals International School,8440066600,petalsagraroad@gmail.com,Jaipur,Rajasthan
Care International School,9214000926,cisjpr@gmail.com,Tiruchirappalli,Tamil Nadu
Care International School,9352963114,cisjpr@gmail.com,Tiruchirappalli,Tamil Nadu
Care International School,9251088066,inchmidcisjpr@gmail.com,Tiruchirappalli,Tamil Nadu
J. D. International School,9414048573,nnarendra695@gmail.com,Jaipur,Rajasthan
J. D. International School,9511719644,kima.sunita@gmail.com,Jaipur,Rajasthan
J. D. International School,9783548279,neha198722@gmail.com,Jaipur,Rajasthan
Oxford International Academy,9785997971,oxford.int.academy@gmail.com,,
Mahapragya Int School,9829845222,vikaskhatri1977@gmail.com,Jaipur,Rajasthan
Mahapragya Int School,9947652477,mis.jaipur@gmail.com,Jaipur,Rajasthan
Mahapragya Int School,9413834690,jyotsana828@gmail.com,Jaipur,Rajasthan
Nims International School,9116010407,vnaithani@nimsuniversity.org,Jaipur,Rajasthan
"Jankidevi Public School, Jaipur",9119119165,yagya@bil.life,Jaipur,Rajasthan
Vinayak International School,9214311157,cmdvinayakschool@gmail.com,Jaipur,Rajasthan
Vinayak International School,8003043195,arvindsains@gmail.com,Jaipur,Rajasthan
The Rajasthan School,9649111198,rameshsklani@gmail.com,Jaipur,Rajasthan
S R N International School,9413349215,sarlapremwadhwani@gmail.com,Jaipur,Rajasthan
S R N International School,9414784792,p.tandon.101@gmail.com,Jaipur,Rajasthan
S R N International School,9413349253,pramila96sharma@gmail.com,Jaipur,Rajasthan
Janta Girls Public School,7597159511,jgpschoolgroup@gmail.com,,
G R Global Academy,9694089999,grgajaipur1999@gmail.com,Jaipur,Rajasthan
St. Anselm'S School,9460134012,stanselm_mns@rediffmail.com,Jaipur,Rajasthan
St. Anselm'S School,9057536278,frjamesthayil@gmail.com,Jaipur,Rajasthan
S V Public School,9828026531,saxenavibha1@gmail.com,,Rajasthan
S V Public School,9461473383,seemaminocha26@gmail.com,,
Sharda Vidya Mandir,9414003300,svmjpr@gmail.com,,
Sharda Vidya Mandir,9460000011,svmjpr1@gmail.com,,
S J Public School,6350544917,sjpsjaipur@gmail.com,,
M G D Girls' School,9024110044,principal@mgdschooljaipur.com,,
M G D Girls' School,9414070154,aomgdschool@gmail.com,,
Tagore Public School,9928039038,rathicl@gmail.com,,
Tagore Public School,9950749152,tpsshastrinagar@gmail.com,,
Tagore Public School,9828698283,kiranarora1952@gmail.com,,Rajasthan
Rishikul Vidyapeeth,9416814444,info@rishikulvidyapeeth.edu.in,,
Gn 401Army Public School Noida Gautam Buddha Nagar Up,9166327270,jyotirana33@yahoo.com,Noida,Uttar Pradesh
Gn 400S K S World School,9971900865,vc@sksgi.com,Greater Noida,Uttar Pradesh
Gzb 449Springfield Public School,9466173020,admin@springfieldschool.net,Ambala,Haryana
Gzb 434Silver Shine School,8447092661,anupama3366@gmail.com,Ghaziabad,Uttar Pradesh
Gzb 420Shivoy School,9810696366,shivoyschoolonline@gmail.com,Ghaziabad,Uttar Pradesh
Gzb 407Sg Public School,9711434131,pradeep.hvpm@gmail.com,Ghaziabad,Uttar Pradesh
Gzb 392Sbn Public School,9560269405,navdeep.tyagi72@gmail.com,Ghaziabad,Uttar Pradesh
Gzb 378Sapna Intl Public School,9045868180,savitakotiyal1979@gmail.com,Ghaziabad,Uttar Pradesh
Gzb 376Sanskar The Coed School,8171590825,principal@sanskargzb.in,Ghaziabad,Uttar Pradesh
Gzb 350Police Modern School,9412237300,sharmaleena003@gmail.com,Ghaziabad,Uttar Pradesh
Gzb 337Pc Academy,9312063807,pcschool_gp@yahoo.in,Ghaziabad,Uttar Pradesh
Gzb 323New Rainbow Public School,9560173519,nrpschool@gmail.com,Ghaziabad,Uttar Pradesh
Gzb 281Modern Academy,9319259644,rakesh.oberoi2@gmail.com,Ghaziabad,Uttar Pradesh
Gzb 280Milton Academy J H School,9871122186,miltonacademy30@gmail.com,Ghaziabad,Uttar Pradesh
Gzb 267Maharaja Agarsain Public School,9818803226,principal@mapsashokvihar.net,Ghaziabad,Uttar Pradesh
Gzb 253Leelawati Public School,9650900043,lps_07@yahoo.co.in,Ghaziabad,Uttar Pradesh
Gzb 252Leelawati Public School,9968157031,lps_07@yahoo.con.in,Ghaziabad,Uttar Pradesh
Gzb 225Jkg Sr Sec School,9837391964,principal.stjohns08567@gmail.com,Ghaziabad,Uttar Pradesh
Gzb 211Jd Academy,8178803110,jdacademy.84@gmail.com,Ghaziabad,Uttar Pradesh
Gzb 210Ingraham Eng Med School,8368771903,anitaagnihotri005@gmail.com,Ghaziabad,Uttar Pradesh
